,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,40391.08666968346,21994.9752645321,0.991371339284205,7.62872838973999,1.62509812262194,97.7321928152311,125.970191379268,175.752271545641,22.745641708374,67.9402923583984,173.520324707031,83.0,118.0,40.0,202.0,137.0,221.0,40391.0,97.7321928152311,125.970191379268,175.752271545641
1,2,corticospinal_L,Left,,,,,,,,,,,,,,,,,,,,,
2,3,inferior_fronto_occipital_L,Left,,,,,,,,,,,,,,,,,,,,,
3,4,inferior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
4,5,superior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
5,6,uncinate_L,Left,,,,,,,,,,,,,,,,,,,,,
6,7,corticospinal_R,Right,22944.04923248291,13083.5258919364,0.968136526693551,3.993243932724,1.61968185940615,101.644569386332,117.518218270572,174.665446304045,25.7203311920166,62.2693214416504,102.707557678223,85.0,116.0,69.0,181.0,125.0,223.0,160608.0,101.644569386332,117.518218270572,174.665446304045
7,8,inferior_fronto_occipital_R,Right,12127.026021718979,9434.5186820303,0.989935499028,7.06617498397827,1.56677849396388,111.980374371238,119.721777851076,152.129875484456,26.9990291595459,30.5488090515137,190.779861450195,93.0,129.0,40.0,195.0,136.0,183.0,97016.0,111.980374371238,119.721777851076,152.129875484456
8,9,inferior_longitudinal_fasciculus_R,Right,13683.02936053276,7988.37394696896,0.993542820065878,8.81385326385498,1.30688581903142,120.77139516188,97.229481838778,142.209091573485,15.1961154937744,27.0928974151611,133.936325073242,93.0,142.0,42.0,153.0,119.0,176.0,123147.0,120.77139516188,97.229481838778,142.209091573485
9,10,superior_longitudinal_fasciculus_R,Right,3916.008402824402,2878.6254145381,0.987511905603326,6.34741687774658,1.63813272840452,127.678498467824,107.713227783452,169.021450459653,13.2384052276611,43.0494422912598,84.0296783447266,114.0,144.0,86.0,144.0,146.0,190.0,39160.0,127.678498467824,107.713227783452,169.021450459653
10,11,uncinate_R,Right,3183.0068299770355,2611.07206083933,0.981346235891798,5.20159530639648,2.1629210650394,111.977693999372,155.604461200126,138.388312912347,13.3311748504639,30.3012180328369,69.343376159668,93.0,131.0,130.0,192.0,123.0,149.0,35013.0,111.977693999372,155.604461200126,138.388312912347
