,Label,Description,ProbabilityNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,Background,0,,,,,,,,,,,,,,,,,,,,,
1,1,CSF,1,358859.7700278759,243609.006399588,0.665783058116784,1.3402214050293,1.56967434172653,84.6729551160762,115.843150095163,162.69508637097,132.139389038086,143.425994873047,177.096038818359,16.0,153.0,30.0,209.0,86.0,227.0,358859.0,84.6729551160762,115.843150095163,162.69508637097
2,2,GM,2,495056.0622727871,314196.122225152,0.777526716174974,1.59020447731018,1.54490406694242,84.5177061134621,118.454709072729,162.63343870883,103.494232177734,138.496871948242,164.576995849609,19.0,150.0,33.0,207.0,106.0,225.0,990110.0,84.5177061134621,118.454709072729,162.63343870883
3,3,WM,3,542384.1638276577,192118.271899714,0.8191924095709,1.74362194538116,1.54517231479833,85.2866738079918,116.250398703499,167.228613359932,85.1360549926758,116.694198608398,148.445098876953,22.0,148.0,35.0,203.0,111.0,222.0,1627149.0,85.2866738079918,116.250398703499,167.228613359932
4,4,DeepGray,4,42968.09219932556,15371.0326074193,0.810810103790655,1.70849847793579,0.242828877238699,83.6177853286166,128.854380003724,152.54861757587,35.4982070922852,56.6404418945312,60.6486320495605,52.0,116.0,100.0,161.0,130.0,177.0,171872.0,83.6177853286166,128.854380003724,152.54861757587
5,5,BrainStem,5,20902.044850826263,4981.351920951,0.887986688362386,2.17453145980835,1.56135038181774,84.462395942972,110.060855420534,118.82269639269,24.6950702667236,27.8149757385254,53.7002067565918,69.0,99.0,94.0,127.0,89.0,149.0,104510.0,84.462395942972,110.060855420534,118.82269639269
6,6,Cerebellum,6,148213.31803059578,18361.2520125305,0.894792496824527,2.23973059654236,3.12547394515227,84.4148488998941,82.8216755615229,112.931362296155,44.1786270141602,51.8852806091309,98.9482269287109,29.0,140.0,52.0,118.0,88.0,148.0,889278.0,84.4148488998941,82.8216755615229,112.931362296155
