,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,38546.66047604902,21251.6899355561,0.988573347638851,6.63391160964966,1.66244229911368,103.754072844246,132.623482411539,150.379552765383,24.5816612243652,65.8834457397461,163.072570800781,88.0,127.0,55.0,204.0,109.0,194.0,38548.0,103.754072844246,132.623482411539,150.379552765383
1,2,corticospinal_L,Left,,,,,,,,,,,,,,,,,,,,,
2,3,inferior_fronto_occipital_L,Left,,,,,,,,,,,,,,,,,,,,,
3,4,inferior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
4,5,superior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
5,6,uncinate_L,Left,,,,,,,,,,,,,,,,,,,,,
6,7,corticospinal_R,Right,22012.235059128023,12293.0926818361,0.966588529445746,3.90117526054382,1.72732707403805,106.7919865534,123.257665924681,149.077817653205,26.1552448272705,56.8891944885254,102.036193847656,90.0,124.0,81.0,186.0,100.0,195.0,154091.0,106.7919865534,123.257665924681,149.077817653205
7,8,inferior_fronto_occipital_R,Right,11407.60357763742,9064.3096632438,0.989037645461822,6.77215003967285,1.62479017437569,119.585816970547,128.62368513324,127.596949509116,26.254976272583,33.2245712280273,177.802642822266,99.0,135.0,54.0,199.0,111.0,164.0,91264.0,119.585816970547,128.62368513324,127.596949509116
8,9,inferior_longitudinal_fasciculus_R,Right,13467.531993655395,7867.73267735071,0.987384585638319,6.31550788879395,1.31035744276938,130.666245916246,106.12577962578,118.827145827146,19.4892349243164,25.9917812347412,123.084419250488,98.0,153.0,56.0,157.0,95.0,154.0,121212.0,130.666245916246,106.12577962578,118.827145827146
9,10,superior_longitudinal_fasciculus_R,Right,3378.882581419779,2525.96048094771,0.98412334595051,5.6342511177063,1.91121401149322,136.906185261912,114.608759988162,144.1524119562,14.0519714355469,40.3749732971191,79.1723327636719,120.0,158.0,95.0,148.0,126.0,161.0,33790.0,136.906185261912,114.608759988162,144.1524119562
10,11,uncinate_R,Right,2986.896203226067,2566.45421976834,0.976245271565341,4.61534881591797,2.26001880970832,116.987612989622,159.470036826247,112.008034817543,14.0152149200439,32.1014404296875,64.6851043701172,98.0,135.0,136.0,193.0,98.0,121.0,32857.0,116.987612989622,159.470036826247,112.008034817543
