bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-001_task-rest_run-01_bold	0.001943934426229508	0.009539852540983605	0	31.49821673897121	1.1800794646090538	0.9929551114403289	0.5095636114852992	968.4899291992188	0.20043125761595315	91	37.295081967213115	2.186616273584906	2.1603864150943397	2.5356649056603775	1.8637975	0.0460428	-0.016196537762880325	0.03750722110271454	244	64	64	40	4.160773557879791	2.5	3.3125	3.3125	4.0	130.38810119778128	9.3817138671875	49.90977096557617	26.21311378479004	99235.0	19.319671630859375	168.85696411132778	75.3024673461914	1.199683294702357	168.00497436523438	868.0674438476562	848.840087890625	30668.0	548.7339904785156	1223.3376525878905	204.0068359375	50.15549087524414
sub-001_task-rest_run-02_bold	0.0009743032786885246	0.01678814282786885	0	33.11916950189301	1.0589326181069953	0.9350984946913579	0.5114169900390362	938.5330810546875	0.29492663043751327	163	66.80327868852459	2.2351796855345913	2.207372075471698	2.5819169811320757	1.91625	0.0309074	-0.01532168872654438	0.037187572568655014	244	64	64	40	4.117547748699396	2.5	3.3125	3.3125	4.0	126.97295934257613	10.098709106445312	50.888710021972656	26.737703323364258	98984.0	19.098360061645508	172.29035644531245	76.82914733886719	1.214001787162947	169.07131958007812	868.6677856445312	851.307373046875	30844.0	539.9690063476563	1223.6434326171875	206.74771118164062	36.90772247314453
sub-001_task-rest_run-03_bold	0.0012248770491803279	0.015683847418032783	0	32.781707967860065	1.0810310982304525	0.9598995011522631	0.5123708063397845	926.6488647460938	0.28112294551123473	151	61.885245901639344	2.224505974842767	2.2003864150943397	2.567441509433962	1.90569	0.0279019	-0.015013441443443298	0.036199234426021576	244	64	64	40	4.1177376115707265	2.5	3.3125	3.3125	4.0	110.84150818756136	10.177699089050293	51.672203063964844	26.938522338867188	99031.0	19.323768615722656	177.6782684326172	76.65155792236328	1.205382638012452	169.72755432128906	870.9166259765625	854.1597900390625	30807.0	537.3270202636719	1224.8700439453123	207.43087768554688	39.72071075439453
sub-002_task-rest_run-01_bold	0.0006475409836065573	0.007902551393442623	0	30.31347576242798	1.1568539599999996	0.9782059236625512	0.5064010526179895	991.611083984375	0.17515603566244503	86	35.24590163934426	2.2055747012578615	2.183203018867925	2.55033358490566	1.8831875	0.0436951	-0.015354451723396778	0.03354717418551445	244	64	64	40	4.177013335247873	2.5	3.3125	3.3125	4.0	123.63761048899774	9.065747261047363	48.69899368286133	25.77458953857422	99671.0	19.032785415649414	164.72335052490234	73.64027404785156	1.2358037067176948	165.31622314453125	858.922607421875	843.9794921875	30422.0	533.5649444580079	1204.7827636718746	202.05001831054688	54.8447151184082
sub-002_task-rest_run-02_bold	0.0007111065573770493	0.008589614959016393	0	29.750363259670774	1.1574208313168721	0.9863431755555558	0.5076173982276181	975.3355102539062	0.16943957601037973	77	31.557377049180328	2.2015736320754713	2.1836226415094337	2.540600754716981	1.8804975	0.0471011	-0.0159397404640913	0.03372398391366005	244	64	64	40	4.1595596232703125	2.5	3.3125	3.3125	4.0	117.09095359807802	9.30272102355957	49.79430389404297	26.06557273864746	99640.0	19.237703323364258	171.31700134277312	75.71898651123047	1.2792021717371371	166.98712158203125	865.1317749023438	849.34423828125	30405.0	540.4401489257813	1215.2818603515625	204.1875457763672	53.55896759033203
sub-002_task-rest_run-03_bold	0.000986311475409836	0.007797489098360656	0	29.23290010135802	1.174728705884774	1.0078145648148147	0.5085177140090481	959.5054321289062	0.17721089619280184	87	35.65573770491803	2.205140110062893	2.187353962264151	2.5489388679245284	1.8791275	0.0368825	-0.015811773017048836	0.033373165875673294	244	64	64	40	4.156857902794524	2.5	3.3125	3.3125	4.0	112.89035252789273	9.454628944396973	50.171119689941406	26.20081901550293	99638.0	19.229507446289062	174.13994369506835	75.30248260498047	1.225239327148345	167.30311584472656	864.872314453125	848.5122680664062	30422.0	537.5485290527344	1216.359777832031	204.1201171875	55.52912139892578
sub-003_task-rest_run-01_bold	0.0007906584362139919	0.007698387695473251	1	27.358775115082643	1.1588689683471078	0.9859441480578516	0.5054285990471313	1013.5186767578125	0.13593491364960947	45	18.51851851851852	2.201441996855346	2.1909856603773585	2.5230128301886796	1.8903275	0.0428146	-0.015670793130993843	0.035638757050037384	243	64	64	40	4.163978977060976	2.5	3.3125	3.3125	4.0	124.35459031949993	8.657665252685547	47.45573806762695	25.234567642211914	99430.0	18.773662567138672	157.49094314575166	71.68797302246094	1.314896177351467	162.06732177734375	849.6351318359375	835.0987548828125	30453.0	525.7193237304688	1192.9571777343745	200.54977416992188	57.971351623535156
sub-003_task-rest_run-02_bold	0.0006954508196721312	0.007519125655737705	0	27.807106387037045	1.1511426979423867	0.9906725918930045	0.5069882019792971	998.8267211914062	0.1748533022762755	80	32.78688524590164	2.2105854559748424	2.202457358490566	2.5288815094339623	1.9004175	0.0621983	-0.01552342064678669	0.03540229797363281	244	64	64	40	4.106095452718174	2.5	3.3125	3.3125	4.0	116.14511460320152	8.883461952209473	48.68684005737305	25.508195877075195	99355.0	18.971309661865234	165.10367584228464	74.21668243408203	1.366041349419957	163.23809814453125	852.2359619140625	839.1433715820312	30525.0	517.9302856445312	1197.635205078125	204.3619384765625	56.47407150268555
sub-003_task-rest_run-03_bold	0.0012134426229508197	0.008764486516393442	0	27.596293202057588	1.1430521387654324	1.0071465290534973	0.5080482657902409	976.81787109375	0.18750390752811757	90	36.885245901639344	2.195480031446541	2.1905509433962265	2.5099441509433964	1.885945	0.0421297	-0.015279697254300117	0.03418818861246109	244	64	64	40	4.166323916394203	2.5	3.3125	3.3125	4.0	105.17240214704903	9.369559288024902	49.63197708129883	25.856555938720703	99582.0	18.729507446289062	170.7327774047851	75.32242584228516	1.330369979838097	162.278076171875	855.5972290039062	840.958984375	30302.0	529.6272277832031	1198.7589782714838	201.8434295654297	54.626121520996094
sub-004_task-rest_run-01_bold	0.0014418852459016393	0.009173539180327867	0	29.7250837946502	1.1596845797530864	1.0011421282716049	0.502522390555485	1032.4766845703125	0.18817455082973583	93	38.114754098360656	2.2266866352201258	2.228153962264151	2.5415909433962263	1.910315	0.0414548	-0.013175295665860176	0.03727823123335838	244	64	64	40	4.154363056537858	2.5	3.3125	3.3125	4.0	133.24539730497972	7.953795909881592	45.59393310546875	24.545080184936523	99801.0	18.622949600219727	149.26638793945312	70.29080963134766	1.2528203135108829	161.33018493652344	834.8724975585938	820.5983276367188	30261.0	509.5286560058594	1167.8524169921875	197.5236053466797	51.50145721435547
