,Label,Description,ProbabilityNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,Background,0,,,,,,,,,,,,,,,,,,,,,
1,1,CSF,1,328312.0,244592.765810631,0.672512601267436,1.35119485855103,1.61096808694784,99.9389818221692,126.644917030142,165.07669533858,129.926940917969,140.750885009766,175.556610107422,32.0,169.0,38.0,218.0,88.0,229.0,328312.0,99.9389818221692,126.644917030142,165.07669533858
2,2,GM,2,505408.0,308456.589991834,0.778133385987321,1.59210550785065,1.56804150709648,99.9352206534127,126.381557078637,164.051158667849,103.166213989258,137.876861572266,164.251495361328,35.0,166.0,40.0,216.0,107.0,227.0,1010816.0,99.9352206534127,126.381557078637,164.051158667849
3,3,WM,3,521198.0,185769.258144313,0.820513388237415,1.74939155578613,1.58719924075705,100.20208826588,125.409326206163,168.499882961945,84.3065872192383,115.693069458008,147.485229492188,38.0,163.0,43.0,213.0,113.0,225.0,1563594.0,100.20208826588,125.409326206163,168.499882961945
4,4,DeepGray,4,41669.0,15306.2930528353,0.812804955200888,1.71663224697113,0.274668775383378,98.1978449206844,137.071611989729,153.405409297079,35.4258308410645,57.1332168579102,60.8131256103516,66.0,131.0,107.0,169.0,131.0,178.0,166676.0,98.1978449206844,137.071611989729,153.405409297079
5,5,BrainStem,5,20946.0,4955.26378907298,0.883093201672572,2.13129806518555,1.62017696419543,100.071946911105,117.081208822687,120.620118399694,24.8909950256348,27.7405662536621,53.0501289367676,83.0,115.0,100.0,134.0,91.0,151.0,104730.0,100.071946911105,117.081208822687,120.620118399694
6,6,Cerebellum,6,147738.0,18226.9595640697,0.892150614162162,2.21367216110229,0.0248732626406824,101.172575776036,89.5340061460152,115.747478644628,44.3325576782227,51.8819923400879,98.1377487182617,47.0,155.0,59.0,126.0,89.0,151.0,886428.0,101.172575776036,89.5340061460152,115.747478644628
