,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,37089.0,20376.9702222342,0.988457592631891,6.60075521469116,1.65696809609544,131.958613065869,114.984361940198,156.085065652889,24.1938362121582,65.3667526245117,159.69758605957,117.0,155.0,45.0,189.0,119.0,196.0,37089.0,131.958613065869,114.984361940198,156.085065652889
1,2,corticospinal_L,Left,,,,,,,,,,,,,,,,,,,,,
2,3,inferior_fronto_occipital_L,Left,,,,,,,,,,,,,,,,,,,,,
3,4,inferior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
4,5,superior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
5,6,uncinate_L,Left,,,,,,,,,,,,,,,,,,,,,
6,7,corticospinal_R,Right,22064.0,12070.4661077051,0.965509476044428,3.84071898460388,1.66430414261846,135.079496011603,107.917875271936,152.897751994199,26.2572555541992,55.6555137634277,100.846740722656,117.0,152.0,60.0,164.0,105.0,196.0,154448.0,135.079496011603,107.917875271936,152.897751994199
7,8,inferior_fronto_occipital_R,Right,11151.0,8739.49903770421,0.988438627675994,6.59537076950073,1.62487561393017,147.427854004125,116.3646309748,133.085463187158,26.2765102386475,32.0432510375977,173.303329467773,126.0,163.0,45.0,187.0,114.0,157.0,89208.0,147.427854004125,116.3646309748,133.085463187158
8,9,inferior_longitudinal_fasciculus_R,Right,13016.0,7545.95368087787,0.987689324137506,6.39270687103271,1.31445692758566,157.932851874616,96.484557467732,120.099031960664,18.9296760559082,25.8867874145508,121.011871337891,126.0,179.0,46.0,149.0,104.0,147.0,117144.0,157.932851874616,96.484557467732,120.099031960664
9,10,superior_longitudinal_fasciculus_R,Right,3113.0,2378.26586097158,0.984232751619195,5.65360879898071,1.93777101336959,162.97301638291,101.179890780597,148.075489881144,13.847318649292,38.9941253662109,78.2873229980469,148.0,185.0,83.0,132.0,126.0,169.0,31130.0,162.97301638291,101.179890780597,148.075489881144
10,11,uncinate_R,Right,2801.0,2434.71601806057,0.97806974047234,4.80128335952759,2.27914855737069,145.018207782935,150.647982863263,124.171010353445,13.4992036819458,31.4366893768311,64.8134994506836,127.0,162.0,128.0,183.0,110.0,139.0,30811.0,145.018207782935,150.647982863263,124.171010353445
