,Label,Description,Side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,CH13_left,left,260.15718039125204,252.140204721589,0.952527294029982,3.28457689285278,0.795522353838307,115.574324324324,151.162162162162,96.6385135135135,4.83729362487793,6.62433242797852,15.8884630203247,111,118,147,155,90,104,296,115.574324324324,151.162162162162,96.6385135135135
1,2,CH13_right,right,200.39134165272117,216.602372725962,0.962464007321142,3.68447136878967,2.47401691783683,120.912280701754,152.368421052632,97.5,4.24975395202637,5.9363842010498,15.6580972671509,118,125,149,156,91,104,456,120.912280701754,152.368421052632,97.5
2,3,NBM_left_ant,left,294.4346467265859,291.292128634552,0.960761969319406,3.60523819923401,0.0939280414519343,102.053731343284,148.161194029851,93.0626865671642,5.09093570709229,5.8717942237854,18.3540363311768,93,111,145,151,90,97,1005,102.053731343284,148.161194029851,93.0626865671642
3,4,NBM_left_mid,left,396.3881363393739,332.571667386807,0.941709362278399,2.97240853309631,0.173651522537829,100.620842572062,143.60310421286,94.8425720620843,6.04290914535522,6.7206597328186,17.9619941711426,93,111,140,147,91,98,1804,100.620842572062,143.60310421286,94.8425720620843
4,5,NBM_left_pos,left,190.72333832737058,196.968689737329,0.925393625371551,2.63847064971924,0.67942843025502,97.8663594470046,137.064516129032,94.9493087557604,4.40185737609863,7.16720676422119,11.6141719818115,94,105,132,141,93,98,1085,97.8663594470046,137.064516129032,94.9493087557604
5,6,NBM_right_ant,right,253.12590524554253,290.841374866127,0.969864485469864,4.10433197021484,0.0345416459124549,135.319444444444,151.392361111111,94.5590277777778,4.9212760925293,5.62070941925049,20.1985511779785,126,146,149,154,92,98,1728,135.319444444444,151.392361111111,94.5590277777778
6,7,NBM_right_mid,right,419.2397805629298,358.958080497054,0.952426280442242,3.28117275238037,0.0143193309256277,136.666666666667,147.406708595388,95.5010482180294,5.86364698410034,6.64163303375244,19.2396392822266,126,146,144,150,91,99,3339,136.666666666667,147.406708595388,95.5010482180294
7,8,NBM_right_pos,right,233.78989859484136,235.614861178105,0.94437196193237,3.04062914848328,2.85190401661735,140.887218045113,141.913533834586,95.609022556391,4.50175619125366,7.45346164703369,13.6881713867188,133,147,137,145,93,99,2128,140.887218045113,141.913533834586,95.609022556391
