,Label,Description,ProbabilityNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,Background,0,,,,,,,,,,,,,,,,,,,,,
1,1,CSF,1,281154.0,227939.212933488,0.602064569026237,1.25243067741394,1.99869517970747,117.265110935644,112.410276930081,141.311580130462,127.74951171875,148.200302124023,159.997406005859,43.0,192.0,38.0,199.0,64.0,202.0,281154.0,117.265110935644,112.410276930081,141.311580130462
2,2,GM,2,476677.0,286995.169802024,0.750990691198512,1.51443386077881,2.51658197408175,117.310797458237,114.625408819809,143.652020131032,100.827880859375,142.650680541992,152.697158813477,45.0,190.0,40.0,196.0,87.0,199.0,953354.0,117.310797458237,114.625408819809,143.652020131032
3,3,WM,3,494602.0,182063.11162028,0.796937630781619,1.65546035766602,2.07042986607666,117.463453443375,110.99335425251,146.474027601991,81.8329696655273,124.834281921387,135.471237182617,48.0,187.0,42.0,193.0,90.0,196.0,1483806.0,117.463453443375,110.99335425251,146.474027601991
4,4,DeepGray,4,43737.0,14969.5965192624,0.839336294371053,1.83954560756683,2.89326527085713,116.371378924023,123.574685049272,134.152068043076,34.586353302002,55.1780395507812,63.6231727600098,75.0,151.0,66.0,154.0,91.0,157.0,174948.0,116.371378924023,123.574685049272,134.152068043076
5,5,BrainStem,5,21143.0,5598.33800274931,0.865734926581471,1.9979909658432,1.41627642138559,116.764082675117,108.240930804522,97.9963581327153,26.4877529144287,36.9799880981445,52.922290802002,69.0,134.0,61.0,125.0,68.0,127.0,105715.0,116.764082675117,108.240930804522,97.9963581327153
6,6,Cerebellum,6,147753.0,18719.1423626529,0.910065866960811,2.41275668144226,3.07803454237851,117.932468376277,84.9359674592056,90.5255189403938,43.49755859375,50.5768356323242,104.949028015137,63.0,174.0,54.0,118.0,66.0,124.0,886518.0,117.932468376277,84.9359674592056,90.5255189403938
