,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,38074.0,21014.7923424216,0.991395908983214,7.63956594467163,1.66549625617018,135.329384882072,117.230971266481,164.97930346168,22.7666778564453,68.3547210693359,173.927536010742,120.0,159.0,39.0,195.0,125.0,209.0,38074.0,135.329384882072,117.230971266481,164.97930346168
1,2,corticospinal_L,Left,,,,,,,,,,,,,,,,,,,,,
2,3,inferior_fronto_occipital_L,Left,,,,,,,,,,,,,,,,,,,,,
3,4,inferior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
4,5,superior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
5,6,uncinate_L,Left,,,,,,,,,,,,,,,,,,,,,
6,7,corticospinal_R,Right,23354.0,12655.689374622,0.971218891689966,4.19835138320923,1.56440689184466,137.950029973452,111.412049327738,165.79382546887,24.7216186523438,60.2824172973633,103.790046691895,122.0,155.0,61.0,174.0,116.0,209.0,163478.0,137.950029973452,111.412049327738,165.79382546887
7,8,inferior_fronto_occipital_R,Right,11215.0,8903.71883574777,0.989901038368931,7.05417013168335,1.62139492796277,151.851894783772,120.906107891217,142.573963441819,26.2343311309814,29.4942722320557,185.061431884766,129.0,166.0,38.0,192.0,121.0,167.0,89720.0,151.851894783772,120.906107891217,142.573963441819
8,9,inferior_longitudinal_fasciculus_R,Right,13737.0,7926.22538153341,0.989971078575306,7.07863473892212,1.35842659498836,163.848438523695,100.027152944602,129.71907985732,18.752161026001,23.9015254974365,132.739700317383,136.0,182.0,40.0,153.0,113.0,153.0,123633.0,163.848438523695,100.027152944602,129.71907985732
9,10,superior_longitudinal_fasciculus_R,Right,3667.0,2760.64118829744,0.986809594291731,6.17721605300903,1.85264642916726,165.070084537769,100.404690482683,158.657758385601,14.7137079238892,37.6258125305176,90.8897552490234,150.0,188.0,80.0,134.0,137.0,182.0,36670.0,165.070084537769,100.404690482683,158.657758385601
10,11,uncinate_R,Right,3007.0,2499.78380317588,0.983637618720939,5.55067205429077,2.21189261177526,149.394080478883,155.098436980379,134.329231792484,12.7349805831909,28.4242763519287,70.6876983642578,130.0,170.0,130.0,189.0,120.0,149.0,33077.0,149.394080478883,155.098436980379,134.329231792484
