,Label,Description,Side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,CH13_left,left,250.0,260.626019047794,0.954417454094396,3.35036444664001,0.431137481815036,108.812,121.184,151.312,4.88372802734375,6.06107807159424,16.362268447876,104,111,119,124,145,159,250,108.812,121.184,151.312
1,2,CH13_right,right,182.0,204.628706724473,0.963031953585924,3.71212887763977,2.6022572743325,113.554945054945,121.104395604396,151.967032967033,3.98589873313904,5.58065366744995,14.7961702346802,112,117,119,124,145,159,364,113.554945054945,121.104395604396,151.967032967033
2,3,NBM_left_ant,left,303.0,283.282824783439,0.962549869195526,3.68861198425293,3.03968784177347,94.976897689769,121.392739273927,147.778877887789,4.84090805053711,5.5964183807373,17.8562316894531,86,104,119,124,146,151,909,94.976897689769,121.392739273927,147.778877887789
3,4,NBM_left_mid,left,372.0,325.83502486839,0.954226158443055,3.34351992607117,3.07500961565607,92.8387096774194,117.486559139785,148.02688172043,5.34823131561279,6.28520488739014,17.8819179534912,85,103,114,120,145,151,1488,92.8387096774194,117.486559139785,148.02688172043
4,5,NBM_left_pos,left,189.0,203.543474125892,0.939943003365996,2.92970371246338,0.0938705459269061,88.6507936507936,113.010582010582,146.994708994709,4.03382968902588,7.03847026824951,11.817925453186,84,96,110,116,145,150,945,88.6507936507936,113.010582010582,146.994708994709
5,6,NBM_right_ant,right,237.0,269.41693204146,0.97841189165818,4.83876276016235,3.09827486975937,127.341772151899,119.042194092827,148.118143459916,3.95363473892212,5.38893699645996,19.1307010650635,118,137,117,121,146,151,1422,127.341772151899,119.042194092827,148.118143459916
6,7,NBM_right_mid,right,436.0,365.932201733628,0.961470917118235,3.63759827613831,3.01984358647594,128.293577981651,115.316513761468,148.31880733945,5.37779712677002,6.58675003051758,19.5622653961182,117,137,112,118,145,152,3052,128.293577981651,115.316513761468,148.31880733945
7,8,NBM_right_pos,right,239.0,235.56398339463,0.947050002138123,3.11442923545837,2.81554111483097,132.878661087866,110.066945606695,146.907949790795,4.32383441925049,7.14275312423706,13.4662761688232,125,138,106,113,145,150,1912,132.878661087866,110.066945606695,146.907949790795
