,Label,Description,ProbabilityNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,Background,0,,,,,,,,,,,,,,,,,,,,,
1,1,CSF,1,393527.0469120741,258243.836081059,0.687380560063656,1.37684631347656,1.55947015182734,84.202329192152,117.095281899336,160.341521674498,124.663566589355,146.408081054688,171.642578125,10.0,155.0,32.0,207.0,85.0,219.0,393527.0,84.202329192152,117.095281899336,160.341521674498
2,2,GM,2,477379.05690801144,316064.314109709,0.780233309050462,1.59875023365021,1.59364962561051,84.7133451618106,118.18979469143,159.057610410177,100.087356567383,145.155899047852,160.014678955078,12.0,153.0,34.0,203.0,106.0,216.0,954758.0,84.7133451618106,118.18979469143,159.057610410177
3,3,WM,3,503147.0599797964,180835.216837279,0.831205646263061,1.7986741065979,1.56581717554018,84.9596559256043,115.778152309365,163.053916648614,80.0073852539062,124.039627075195,143.907211303711,16.0,150.0,35.0,201.0,110.0,212.0,1509441.0,84.9596559256043,115.778152309365,163.053916648614
4,4,DeepGray,4,42980.005123615265,15842.262207022,0.831317990148784,1.79921782016754,0.114832908943062,84.6110981852024,129.278245695672,149.139390414146,34.6055946350098,57.2141571044922,62.2630004882812,51.0,118.0,101.0,161.0,128.0,172.0,171920.0,84.6110981852024,129.278245695672,149.139390414146
5,5,BrainStem,5,22007.002623438835,5197.99508074161,0.858258145418739,1.94848871231079,1.57959903762873,84.1965738174217,111.001272322443,115.935974917072,26.5933780670166,27.8119983673096,51.8168983459473,68.0,100.0,96.0,128.0,86.0,146.0,110035.0,84.1965738174217,111.001272322443,115.935974917072
6,6,Cerebellum,6,152281.01815330982,19379.3407862915,0.9053411762248,2.35468626022339,0.0240751407170019,84.8391066515192,83.7478345952548,109.919681378504,44.0245246887207,52.1548080444336,103.663948059082,29.0,138.0,51.0,121.0,86.0,143.0,913686.0,84.8391066515192,83.7478345952548,109.919681378504
