,Label,Description,Side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,CH13_left,left,260.99872045218945,269.332366809799,0.955256517271754,3.3809072971344,3.13116295281803,108.646551724138,166.751724137931,180.870689655172,5.81264734268188,8.60232353210449,19.6520214080811,103,112,163,174,171,190,580,108.646551724138,166.751724137931,180.870689655172
1,2,CH13_right,right,180.89911314100027,220.20156303638,0.969876922193366,4.1051664352417,0.0822097831218116,115.350746268657,166.470149253731,181.412935323383,5.11211919784546,6.98987436294556,20.9861011505127,112,120,163,170,172,190,804,115.350746268657,166.470149253731,181.412935323383
2,3,NBM_left_ant,left,276.29864544421434,282.043582429696,0.940600010915415,2.94536280632019,3.11886753544936,91.8078175895765,166.680781758958,176.395765472313,6.74069690704346,7.81719303131104,19.8537979125977,81,102,164,171,173,181,1842,91.8078175895765,166.680781758958,176.395765472313
3,4,NBM_left_mid,left,352.79827040433884,311.899684006584,0.941808219931366,2.97485637664795,0.0196403816342658,90.1377551020408,161.127551020408,176.557397959184,7.13766765594482,8.15052890777588,21.2335357666016,81,102,157,164,172,181,3136,90.1377551020408,161.127551020408,176.557397959184
4,5,NBM_left_pos,left,171.44915946945548,190.95885218172,0.93572213313093,2.834965467453,0.308936315267522,85.4488188976378,154.868766404199,174.923884514436,5.12123203277588,8.87079524993896,14.518515586853,79,94,150,158,172,179,1905,85.4488188976378,154.868766404199,174.923884514436
5,6,NBM_right_ant,right,216.8989366516471,254.21134750804,0.953254883357091,3.30942392349243,3.05906947259281,131.98132780083,164.051867219917,175.392116182573,6.01001405715942,7.28863143920898,19.889684677124,121,142,161,168,172,180,2892,131.98132780083,164.051867219917,175.392116182573
6,7,NBM_right_mid,right,397.3480519987643,327.199974029763,0.936549914060134,2.85278820991516,2.99118423453407,132.995469988675,158.706681766704,175.310305775764,7.44372749328613,8.67641830444336,21.2353782653809,121,143,155,163,172,180,6181,132.995469988675,158.706681766704,175.310305775764
7,8,NBM_right_pos,right,200.24901827797294,204.550187347185,0.916972309750045,2.50657439231873,2.55068612580311,138.047191011236,151.186516853933,173.602247191011,5.76325273513794,9.15574836730957,14.4460220336914,130,144,145,155,171,178,3560,138.047191011236,151.186516853933,173.602247191011
