,Label,Description,ProbabilityNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,Background,0,,,,,,,,,,,,,,,,,,,,,
1,1,CSF,1,327159.0829616762,227904.913632706,0.675180516079245,1.35565185546875,2.1707932509246,118.742039303128,115.953679799052,112.985699893884,127.376861572266,160.812194824219,172.678680419922,39.0,201.0,35.0,208.0,35.0,172.0,372235.0,118.742039303128,115.953679799052,112.985699893884
2,2,GM,2,465278.95317116054,295690.007381164,0.793203713515853,1.64215385913849,2.48196332653485,118.980137329165,118.960248212549,115.883009529926,99.8822860717773,152.306854248047,164.022079467773,42.0,197.0,38.0,205.0,59.0,169.0,1058770.0,118.980137329165,118.960248212549,115.883009529926
3,3,WM,3,504032.49715554994,186139.503970681,0.832173542624236,1.80337679386139,2.10423362433479,118.83139021898,115.120328940256,118.498038285688,80.6515731811523,133.157516479492,145.445175170898,45.0,194.0,41.0,202.0,64.0,166.0,1720434.0,118.83139021898,115.120328940256,118.498038285688
4,4,DeepGray,4,41847.288452333305,15113.5970960619,0.836284332790911,1.82383215427399,2.69305889087326,119.141894020541,127.582803015983,105.790330371957,35.4561004638672,56.8803100585938,64.6659774780273,85.0,155.0,98.0,161.0,81.0,129.0,190452.0,119.141894020541,127.582803015983,105.790330371957
5,5,BrainStem,5,20553.185904223938,5141.64956196052,0.852946141255167,1.91571283340454,2.08755290487616,121.899037844772,112.671926448578,69.2005559119093,26.976676940918,29.5596752166748,51.6795654296875,105.0,139.0,98.0,130.0,41.0,99.0,116925.0,121.899037844772,112.671926448578,69.2005559119093
6,6,Cerebellum,6,142028.35931429872,18254.8901235496,0.924245053929914,2.6191737651825,3.04266905397229,121.866080434662,86.7560474513759,63.2843060205326,42.5570373535156,53.3063621520996,111.46427154541,63.0,182.0,54.0,123.0,36.0,96.0,969582.0,121.866080434662,86.7560474513759,63.2843060205326
