,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,36998.37134163827,20443.7624170589,0.988574355094432,6.63420248031616,1.61337945432829,133.675313568985,118.509026985937,128.617374572406,25.7629928588867,64.741096496582,170.916915893555,118.0,157.0,43.0,197.0,92.0,167.0,42096.0,133.675313568985,118.509026985937,128.617374572406
1,2,corticospinal_L,Left,,,,,,,,,,,,,,,,,,,,,
2,3,inferior_fronto_occipital_L,Left,,,,,,,,,,,,,,,,,,,,,
3,4,inferior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
4,5,superior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
5,6,uncinate_L,Left,,,,,,,,,,,,,,,,,,,,,
6,7,corticospinal_R,Right,22049.081666849088,12041.5023039494,0.959910558098323,3.56752395629883,1.46085581101935,137.142384501933,110.130705146092,126.0055407183,28.07350730896,58.8466835021973,100.152908325195,119.0,155.0,59.0,171.0,78.0,168.0,175609.0,137.142384501933,110.130705146092,126.0055407183
7,8,inferior_fronto_occipital_R,Right,11109.355134889483,8819.26392215242,0.989987200137738,7.08430242538452,1.58234708921418,151.814477848101,118.77246835443,106.829113924051,26.0963497161865,33.6971015930176,184.874435424805,128.0,169.0,43.0,195.0,87.0,130.0,101120.0,151.814477848101,118.77246835443,106.829113924051
8,9,inferior_longitudinal_fasciculus_R,Right,12846.949684072752,7642.06253612315,0.9888159719047,6.70507383346558,1.2683933540254,163.048847232674,97.0870219607307,94.671683656017,19.1400661468506,26.8051338195801,128.335556030273,127.0,188.0,44.0,153.0,80.0,120.0,131553.0,163.048847232674,97.0870219607307,94.671683656017
9,10,superior_longitudinal_fasciculus_R,Right,3215.9122182405554,2422.53303471599,0.985009746650151,5.7971453666687,2.00033543939661,168.292429625581,98.5288330144848,121.160972943427,13.9374399185181,40.0056648254395,80.79736328125,150.0,191.0,81.0,133.0,102.0,145.0,36590.0,168.292429625581,98.5288330144848,121.160972943427
10,11,uncinate_R,Right,2864.3503468832932,2520.52385795509,0.978589854081906,4.85861301422119,2.25558739589408,151.413623810985,155.599570420374,97.7582080392759,14.0372524261475,33.3662338256836,68.2015762329102,133.0,170.0,131.0,191.0,85.0,113.0,35849.0,151.413623810985,155.599570420374,97.7582080392759
