,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,38277.0,20186.251864939,0.986528149343794,6.11278390884399,1.66956664143238,112.529508582177,125.426365702641,169.364187371006,25.9782295227051,62.327465057373,158.799301147461,97.0,136.0,50.0,197.0,133.0,210.0,38277.0,112.529508582177,125.426365702641,169.364187371006
1,2,corticospinal_L,Left,,,,,,,,,,,,,,,,,,,,,
2,3,inferior_fronto_occipital_L,Left,,,,,,,,,,,,,,,,,,,,,
3,4,inferior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
4,5,superior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
5,6,uncinate_L,Left,,,,,,,,,,,,,,,,,,,,,
6,7,corticospinal_R,Right,22990.0,12378.8298368001,0.960547288944562,3.59561276435852,1.68310044072359,116.544541104828,117.522444541105,169.554197477164,26.2774295806885,61.6882095336914,94.4834594726562,98.0,134.0,72.0,179.0,123.0,211.0,160930.0,116.544541104828,117.522444541105,169.554197477164
7,8,inferior_fronto_occipital_R,Right,11163.0,8602.86610558027,0.989949179222856,7.07095766067505,1.63319348250259,128.623129982979,129.05652602347,147.002418704649,24.2144508361816,32.6369171142578,171.219360351562,106.0,144.0,50.0,193.0,132.0,174.0,89304.0,128.623129982979,129.05652602347,147.002418704649
8,9,inferior_longitudinal_fasciculus_R,Right,12362.0,7229.77193663699,0.989277934042872,6.8471999168396,1.31876221653384,139.279000161786,106.763064229089,134.797039314027,18.19118309021,23.2834091186523,124.558670043945,106.0,158.0,52.0,155.0,113.0,165.0,111258.0,139.279000161786,106.763064229089,134.797039314027
9,10,superior_longitudinal_fasciculus_R,Right,2823.0,2377.55708210354,0.987611164675022,6.37263488769531,1.5940490905924,143.964222458378,112.444916755225,163.447750619908,12.3275032043457,43.3056678771973,78.5586776733398,130.0,162.0,90.0,146.0,139.0,177.0,28230.0,143.964222458378,112.444916755225,163.447750619908
10,11,uncinate_R,Right,2856.0,2550.87557461438,0.980624371467196,5.10470962524414,2.27399671616858,124.964635854342,156.608543417367,134.865546218487,13.199896812439,31.2185668945312,67.3816375732422,106.0,147.0,134.0,189.0,121.0,146.0,31416.0,124.964635854342,156.608543417367,134.865546218487
