,Label,Description,Side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,CH13_left,left,277.0,268.875779154476,0.947118283246378,3.11638450622559,0.683403308810236,98.3429602888087,145.859205776173,111.833935018051,5.20032691955566,5.96678161621094,16.2062187194824,93,101,143,150,105,120,277,98.3429602888087,145.859205776173,111.833935018051
1,2,CH13_right,right,211.0,236.825214480365,0.955618487787914,3.39435219764709,2.35101651726712,103.165876777251,145.905213270142,112.796208530806,4.56945562362671,5.68630504608154,15.5103416442871,101,107,143,150,106,120,422,103.165876777251,145.905213270142,112.796208530806
2,3,NBM_left_ant,left,283.0,276.994849369232,0.964852826365032,3.80530738830566,3.07311720144009,85.4664310954064,145.703180212014,108.60777385159,4.29179716110229,6.42557048797607,16.3316078186035,77,94,144,148,106,112,849,85.4664310954064,145.703180212014,108.60777385159
3,4,NBM_left_mid,left,343.0,308.785892354295,0.945194487443065,3.06271362304688,3.13233817444353,84.0087463556851,141.918367346939,110.594752186589,5.62169075012207,5.78137922286987,17.2176284790039,77,94,139,145,107,114,1372,84.0087463556851,141.918367346939,110.594752186589
4,5,NBM_left_pos,left,163.0,176.830016653661,0.922937515619811,2.59774136543274,0.341566926608801,79.920245398773,136.907975460123,111.61963190184,4.06219911575317,6.52846908569336,10.5525426864624,75,86,133,140,109,114,815,79.920245398773,136.907975460123,111.61963190184
5,6,NBM_right_ant,right,253.0,275.844015066056,0.977685580530052,4.7602367401123,3.08566244655296,115.885375494071,143.810276679842,110.584980237154,3.70910000801086,6.43259811401367,17.6561946868896,107,124,142,146,107,115,1518,115.885375494071,143.810276679842,110.584980237154
6,7,NBM_right_mid,right,415.0,348.399079471039,0.94422738022024,3.03679847717285,3.04407330011755,116.566265060241,140.067469879518,112.29156626506,5.79686069488525,6.36846780776978,17.6038970947266,107,124,137,143,108,117,2905,116.566265060241,140.067469879518,112.29156626506
7,8,NBM_right_pos,right,206.0,210.097017335542,0.930577625250062,2.73153400421143,2.72104031209819,120.067961165049,134.631067961165,113.490291262136,4.33381509780884,6.92766427993774,11.837963104248,114,125,130,137,110,116,1648,120.067961165049,134.631067961165,113.490291262136
