,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,36634.122279167175,21362.7917211867,0.991200303717266,7.55455112457275,1.62681378871814,130.944832669105,117.705792433259,145.306190970137,22.5490112304688,72.3624954223633,170.34765625,116.0,151.0,49.0,197.0,89.0,190.0,36634.0,130.944832669105,117.705792433259,145.306190970137
1,2,corticospinal_L,Left,,,,,,,,,,,,,,,,,,,,,
2,3,inferior_fronto_occipital_L,Left,,,,,,,,,,,,,,,,,,,,,
3,4,inferior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
4,5,superior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
5,6,uncinate_L,Left,,,,,,,,,,,,,,,,,,,,,
6,7,corticospinal_R,Right,21778.07269191742,12666.0607463773,0.968585654056001,4.02122926712036,1.59171416539373,135.356139223069,111.342455689228,144.128937459822,25.7831478118896,61.5124053955078,103.679946899414,119.0,150.0,58.0,168.0,96.0,190.0,152446.0,135.356139223069,111.342455689228,144.128937459822
7,8,inferior_fronto_occipital_R,Right,11114.037096977234,8977.47010009611,0.990658625660695,7.33324480056763,1.57357628870925,145.494961310059,123.78342630916,120.691830124168,25.3059425354004,30.898775100708,185.574676513672,125.0,161.0,49.0,196.0,86.0,143.0,88912.0,145.494961310059,123.78342630916,120.691830124168
8,9,inferior_longitudinal_fasciculus_R,Right,13077.043649196625,7798.43780378876,0.991640661802831,7.75012254714966,1.29165250377459,155.054064387857,106.316433432745,104.054752619102,17.4542274475098,24.4359340667725,135.272399902344,126.0,175.0,51.0,161.0,83.0,124.0,117693.0,155.054064387857,106.316433432745,104.054752619102
9,10,superior_longitudinal_fasciculus_R,Right,3251.0108513832092,2693.69370261515,0.987945705596829,6.45991516113281,1.57610324752963,160.692709935404,104.614272531529,133.779144878499,13.2964401245117,43.0695304870605,85.8938751220703,148.0,177.0,83.0,137.0,108.0,162.0,32510.0,160.692709935404,104.614272531529,133.779144878499
10,11,uncinate_R,Right,2851.0095162391663,2476.05063240135,0.982991754199102,5.44514894485474,2.24881410686026,145.346194317783,160.228340933006,120.582953349702,12.5969343185425,29.776294708252,68.5921859741211,125.0,165.0,137.0,194.0,107.0,138.0,31361.0,145.346194317783,160.228340933006,120.582953349702
