,Label,Description,ProbabilityNumber,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,Background,0,,,,,,,,,,,,,,,,,,,,,
1,1,CSF,1,383715.9313862351,247510.77084435,0.652963849854646,1.32032525539398,1.34851144892082,84.9998723013896,120.343157439356,152.895122955519,124.057090759277,140.733093261719,163.795715332031,16.0,153.0,39.0,207.0,75.0,212.0,383716.0,84.9998723013896,120.343157439356,152.895122955519
2,2,GM,2,462349.9173253807,307905.890267367,0.736703704372171,1.47881817817688,1.33013792803378,84.3379625824592,120.545225478534,152.51683140478,104.615852355957,139.044815063477,154.707824707031,18.0,150.0,42.0,204.0,96.0,210.0,924700.0,84.3379625824592,120.545225478534,152.51683140478
3,3,WM,3,468982.91613930796,182390.288515699,0.790558532325781,1.63295567035675,1.39084762652851,84.8214455534636,118.896032478789,156.654469351768,85.35009765625,118.131980895996,139.372924804688,22.0,148.0,42.0,201.0,101.0,207.0,1406949.0,84.8214455534636,118.896032478789,156.654469351768
4,4,DeepGray,4,39272.992977440634,15560.8563082426,0.857762100241868,1.945347905159,0.160309645119327,84.9665164362284,133.065057418583,143.437348814707,34.1327285766602,52.8678321838379,66.400032043457,52.0,120.0,105.0,165.0,121.0,168.0,157092.0,84.9665164362284,133.065057418583,143.437348814707
5,5,BrainStem,5,20391.996353626397,5004.40447360736,0.894117760873503,2.23298048973083,1.418542757469,84.4588564142801,114.012455865045,107.722096900745,24.5771389007568,25.5920429229736,54.8802719116211,69.0,100.0,99.0,130.0,76.0,138.0,101960.0,84.4588564142801,114.012455865045,107.722096900745
6,6,Cerebellum,6,134473.97595417596,18006.4897296014,0.903020611524148,2.32776165008545,0.0525903987977962,83.9086812320597,88.0227553281675,100.011563573628,42.4028816223145,51.0704536437988,98.7038040161133,32.0,137.0,55.0,124.0,76.0,135.0,806844.0,83.9086812320597,88.0227553281675,100.011563573628
