,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,39037.06049644947,21327.0213420051,0.991313983311748,7.60360956192017,1.63160720011377,130.938801649717,123.510899915465,154.971719138253,22.7506637573242,69.3827133178711,172.987167358398,117.0,152.0,45.0,200.0,114.0,199.0,39037.0,130.938801649717,123.510899915465,154.971719138253
1,2,corticospinal_L,Left,,,,,,,,,,,,,,,,,,,,,
2,3,inferior_fronto_occipital_L,Left,,,,,,,,,,,,,,,,,,,,,
3,4,inferior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
4,5,superior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
5,6,uncinate_L,Left,,,,,,,,,,,,,,,,,,,,,
6,7,corticospinal_R,Right,24059.037284731865,13029.0858073067,0.972418963748077,4.28741121292114,1.58583702619973,133.575127810798,115.541543705058,156.178976682323,24.5229511260986,61.4194679260254,105.139976501465,117.0,150.0,65.0,179.0,106.0,199.0,168413.0,133.575127810798,115.541543705058,156.178976682323
7,8,inferior_fronto_occipital_R,Right,10957.016980290413,8648.10148079399,0.990282489710983,7.19059991836548,1.59178110375085,146.994158985124,126.991694806973,131.589486173223,25.5367126464844,29.329044342041,183.624282836914,127.0,162.0,45.0,197.0,110.0,157.0,87656.0,146.994158985124,126.991694806973,131.589486173223
8,9,inferior_longitudinal_fasciculus_R,Right,13218.02048420906,7628.36931124234,0.990019795672709,7.09580421447754,1.32912018620944,157.927447420185,104.945301861098,118.595324557422,18.4844665527344,23.5157680511475,131.162155151367,129.0,177.0,46.0,157.0,102.0,142.0,118962.0,157.927447420185,104.945301861098,118.595324557422
9,10,superior_longitudinal_fasciculus_R,Right,3685.005710721016,2761.31118048283,0.985691942014645,5.93271780014038,1.77472324781604,160.105291723202,105.042333785617,147.657259158752,15.3719472885132,37.2148056030273,91.1974258422852,145.0,181.0,84.0,138.0,125.0,171.0,36850.0,160.105291723202,105.042333785617,147.657259158752
10,11,uncinate_R,Right,2964.004593372345,2455.9747471294,0.984349630255956,5.67451333999634,2.17542565242673,145.272267206478,159.755060728745,123.438259109312,12.4173831939697,28.2882690429688,70.4626083374023,127.0,165.0,134.0,195.0,110.0,137.0,32604.0,145.272267206478,159.755060728745,123.438259109312
