,Label,Description,Side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,CH13_left,left,244.00037813186646,242.469240597627,0.962355540440503,3.67926120758057,0.380995578467573,114.290983606557,143.467213114754,127.512295081967,4.27144813537598,6.14721584320068,15.7157735824585,110,117,141,147,121,135,244,114.290983606557,143.467213114754,127.512295081967
1,2,CH13_right,right,173.0002681016922,195.241203076194,0.967409520923976,3.94918274879456,2.79419860996012,118.919075144509,143.468208092486,128.982658959538,3.7965350151062,5.28215742111206,14.9932107925415,117,122,141,146,123,135,346,118.919075144509,143.468208092486,128.982658959538
2,3,NBM_left_ant,left,307.0004757642746,284.822868332293,0.961803061929733,3.65307021141052,0.0441529673697652,100.918566775244,142.563517915309,124.068403908795,4.61447954177856,6.26835203170776,16.8570175170898,93,110,141,145,121,128,921,100.918566775244,142.563517915309,124.068403908795
3,4,NBM_left_mid,left,302.0004680156708,274.194756621178,0.943146896970465,3.00863909721375,0.0687845518624481,99.1655629139073,138.390728476821,125.112582781457,5.33132123947144,5.72481727600098,16.0400218963623,92,108,136,141,122,128,1208,99.1655629139073,138.390728476821,125.112582781457
4,5,NBM_left_pos,left,166.00025725364685,179.741029062471,0.914859899182281,2.47664880752563,0.379870495705845,95.2831325301205,133.518072289157,124.734939759036,4.15922451019287,6.84853649139404,10.3009386062622,91,101,129,136,123,128,830,95.2831325301205,133.518072289157,124.734939759036
5,6,NBM_right_ant,right,240.0003719329834,256.291701985311,0.970516120636119,4.14875411987305,3.00997400741663,132.104166666667,141.583333333333,124.65,4.0685248374939,5.92941761016846,16.8793087005615,123,141,140,145,123,128,1440,132.104166666667,141.583333333333,124.65
6,7,NBM_right_mid,right,377.0005842447281,339.184087037088,0.950700821142663,3.22466659545898,2.98054287455295,133.339522546419,137.572944297082,125.464190981432,5.65813589096069,6.18874645233154,18.2456016540527,123,142,135,141,122,129,2639,133.339522546419,137.572944297082,125.464190981432
7,8,NBM_right_pos,right,219.00033938884735,225.018333366952,0.936855196581991,2.85945057868958,2.62806931934741,137.342465753425,131.885844748858,125.58904109589,4.22420072555542,7.73999977111816,12.078893661499,131,142,127,135,123,128,1752,137.342465753425,131.885844748858,125.58904109589
