,Label,Description,Side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,CH13_left,left,234.0,243.376920442851,0.965656131173215,3.84876680374146,0.641470904101393,109.5,128.012820512821,133.709401709402,4.20563840866089,6.00695657730103,16.1865215301514,105,112,125,131,127,141,234,109.5,128.012820512821,133.709401709402
1,2,CH13_right,right,187.0,212.170522540478,0.968309044822424,4.00392293930054,2.75193047502204,114.299465240642,128.064171122995,134.812834224599,3.90729856491089,5.63182830810547,15.6445217132568,112,118,126,131,128,142,374,114.299465240642,128.064171122995,134.812834224599
2,3,NBM_left_ant,left,301.0,284.532990690909,0.960993150989972,3.61569285392761,0.0344440523913558,95.8704318936877,126.478405315615,129.704318936877,4.68151903152466,6.07595586776733,16.9269351959229,87,105,124,129,127,133,903,95.8704318936877,126.478405315615,129.704318936877
3,4,NBM_left_mid,left,323.0,283.578447984255,0.945511379493597,3.07135629653931,0.0703556933114333,93.938080495356,122.241486068111,130.764705882353,5.37134122848511,5.7614369392395,16.4973030090332,87,103,120,124,128,134,1292,93.938080495356,122.241486068111,130.764705882353
4,5,NBM_left_pos,left,167.0,182.319154739001,0.925056250480097,2.63275575637817,0.447500711995034,90.1916167664671,117.059880239521,130.604790419162,4.03743886947632,6.94533443450928,10.6295900344849,86,97,113,120,129,133,835,90.1916167664671,117.059880239521,130.604790419162
5,6,NBM_right_ant,right,247.0,270.508231594078,0.969357904277038,4.07078790664673,3.04700665575884,127.554655870445,125.935222672065,130.951417004049,4.26509237289429,5.97268056869507,17.3622856140137,119,136,124,129,128,135,1482,127.554655870445,125.935222672065,130.951417004049
6,7,NBM_right_mid,right,395.0,343.587082601292,0.94493019640665,3.05556273460388,3.0151722774911,128.721518987342,121.946835443038,131.956962025316,5.81189632415771,6.24468040466309,17.7586135864258,118,137,119,125,128,136,2765,128.721518987342,121.946835443038,131.956962025316
7,8,NBM_right_pos,right,217.0,222.131773581689,0.931326523845271,2.7458553314209,2.6835311982316,133.345622119816,116.082949308756,132.364055299539,4.1321702003479,8.0205659866333,11.3463411331177,127,138,111,119,130,135,1736,133.345622119816,116.082949308756,132.364055299539
